"AREA"	"CLUSTER"	"AGE"	"SEX"	"WEIGHT"	"EMPLOYED"	"UNEMPLOYED"	"INACTIVE"	"REGISTERED"	"EDUCATION"	"INCOME"
1	1	23	2	154	0	1	0	1	2	25883
1	1	55	1	190	1	0	0	0	1	47249
1	1	49	2	174	1	0	0	0	1	34052
1	1	41	1	231	1	0	0	0	2	48149
1	1	40	2	231	1	0	0	0	3	56230
1	1	38	2	196	1	0	0	0	2	41829
1	1	39	1	266	1	0	0	0	2	34071
1	1	37	2	266	1	0	0	0	2	42344
1	1	29	1	325	1	0	0	0	1	48192
1	1	28	2	325	0	0	1	0	1	42320
1	1	42	2	231	1	0	0	0	2	60299
1	1	23	1	169	1	0	0	0	2	49786
1	2	39	2	151	1	0	0	0	1	38215
1	2	17	1	151	1	0	0	0	1	52493
1	2	19	2	298	0	1	0	0	2	50890
1	2	48	1	351	1	0	0	0	2	75634
1	2	24	1	351	0	0	1	0	2	49450
1	2	45	1	450	1	0	0	0	1	59124
1	2	20	1	344	0	1	0	0	1	22400
1	2	47	1	347	1	0	0	0	1	39754
1	2	38	2	487	1	0	0	0	2	52161
1	2	42	1	429	1	0	0	0	1	30796
1	2	71	2	530	0	0	1	0	1	39301
1	2	45	1	530	0	0	1	0	2	66319
1	3	40	2	530	0	0	1	0	2	39922
1	3	35	1	530	0	0	1	0	1	47272
1	3	29	2	347	1	0	0	0	2	41525
1	3	56	2	347	0	0	1	0	1	43219
1	3	47	1	196	1	0	0	0	3	64172
1	3	82	2	189	0	0	1	0	2	24109
1	3	44	2	261	0	0	1	0	2	32767
1	3	43	1	261	1	0	0	0	3	71879
1	3	60	2	253	1	0	0	0	1	32105
1	3	36	1	253	1	0	0	0	3	49682
1	3	69	2	297	0	0	1	0	1	41167
1	3	48	1	174	1	0	0	0	3	79116
1	4	43	2	174	1	0	0	0	2	49004
1	4	16	2	174	0	0	1	0	1	34832
1	4	88	1	164	0	0	1	0	1	42438
1	4	53	2	129	1	0	0	0	2	53583
1	4	34	2	299	1	0	0	0	2	41665
1	4	56	2	75	1	0	0	0	2	44193
1	4	42	1	244	1	0	0	0	2	72152
1	4	39	2	244	1	0	0	0	2	41166
1	4	58	2	204	1	0	0	0	2	51165
1	4	36	1	204	1	0	0	0	2	46670
1	4	55	2	220	0	0	1	0	2	51027
1	4	29	1	220	1	0	0	0	3	60127
1	5	46	1	207	0	0	1	0	1	36868
