"area"	"sex"	"N"	"reg"	"edu1"	"edu2"	"edu3"
1	1	8020	25	3973	2733	1314
1	2	7785	193	3079	4330	376
2	1	3576	369	2075	1452	49
2	2	3760	253	1794	1902	64
3	1	4446	31	1772	1076	1598
3	2	3720	27	1646	1660	414
4	1	4807	215	2752	1460	595
4	2	4914	205	1793	1739	1382
5	1	3252	47	1245	1821	186
5	2	4210	400	1268	2367	575
6	1	5461	400	2278	2759	424
6	2	2050	420	734	1310	6
7	1	4023	22	1855	1518	650
7	2	4326	29	1828	1845	653
8	1	3816	215	2746	740	330
8	2	3978	149	2067	1544	367
9	1	10785	603	4067	4224	2494
9	2	9762	1301	4262	3491	2009
10	1	3256	380	1320	1470	466
10	2	3405	220	1793	1442	170
11	1	3058	166	1273	1163	622
11	2	3449	559	1311	1522	616
12	1	5469	562	2367	2284	818
12	2	4966	1514	1285	3085	596
13	1	4732	885	1010	2890	832
13	2	5364	710	2200	2312	852
14	1	3254	325	2035	781	438
14	2	2465	174	1010	1449	6
15	1	3885	384	1700	1622	563
15	2	3429	179	1176	1591	662
16	1	4262	293	1002	2500	760
16	2	4394	659	1699	1418	1277
17	1	5059	1019	2174	2140	745
17	2	5726	524	1759	2183	1784
18	1	2643	448	33	868	1742
18	2	3078	362	177	717	2184
19	1	4308	377	1097	2297	914
19	2	5532	709	1240	3170	1122
20	1	3722	183	622	2040	1060
20	2	4075	33	1055	2506	514
