"area"	"sex"	"age"	"N"	"reg"	"edu1"	"edu2"	"edu3"
1	1	1	1397	8	668	529	200
1	1	2	6097	12	2789	2196	1112
1	1	3	526	5	516	8	2
1	2	1	645	170	185	458	2
1	2	2	4199	7	659	3176	364
1	2	3	2941	16	2235	696	10
2	1	1	96	141	86	8	2
2	1	2	1769	222	447	1298	24
2	1	3	1711	6	1542	146	23
2	2	1	1701	232	661	1014	26
2	2	2	1245	9	329	880	36
2	2	3	814	12	804	8	2
3	1	1	301	12	209	90	2
3	1	2	2952	8	950	807	1195
3	1	3	1193	11	613	179	401
3	2	1	337	12	8	277	52
3	2	2	1315	6	333	663	319
3	2	3	2068	9	1305	720	43
4	1	1	1089	13	849	238	2
4	1	2	2713	190	1176	1036	501
4	1	3	1005	12	727	186	92
4	2	1	1256	194	151	629	476
4	2	2	2852	8	993	955	904
4	2	3	806	3	649	155	2
5	1	1	224	12	14	208	2
5	1	2	2410	18	623	1605	182
5	1	3	618	17	608	8	2
5	2	1	1265	7	153	769	343
5	2	2	2534	379	714	1590	230
5	2	3	411	14	401	8	2
6	1	1	1149	190	8	868	273
6	1	2	3160	206	1279	1755	126
6	1	3	1152	4	991	136	25
6	2	1	431	203	18	411	2
6	2	2	1050	209	318	730	2
6	2	3	569	8	398	169	2
7	1	1	829	10	162	665	2
7	1	2	1848	8	636	710	502
7	1	3	1346	4	1057	143	146
7	2	1	833	9	9	738	86
7	2	2	2472	12	808	1099	565
7	2	3	1021	8	1011	8	2
8	1	1	775	9	339	251	185
8	1	2	2196	195	1830	223	143
8	1	3	845	11	577	266	2
8	2	1	690	8	451	237	2
8	2	2	2504	9	1037	1298	169
8	2	3	784	132	579	9	196
9	1	1	1405	395	261	1021	123
9	1	2	6641	198	1740	2938	1963
9	1	3	2739	10	2066	265	408
9	2	1	1420	545	7	1170	243
9	2	2	5371	732	2268	1655	1448
9	2	3	2971	24	1987	666	318
10	1	1	733	168	141	590	2
10	1	2	1352	8	386	504	462
10	1	3	1171	204	793	376	2
10	2	1	901	8	165	618	118
10	2	2	1964	203	1108	813	43
10	2	3	540	9	520	11	9
11	1	1	423	12	185	190	48
11	1	2	2188	150	651	965	572
11	1	3	447	4	437	8	2
11	2	1	384	8	9	305	70
11	2	2	2446	542	728	1207	511
11	2	3	619	9	574	10	35
12	1	1	473	10	7	300	166
12	1	2	3120	541	746	1738	636
12	1	3	1876	11	1614	246	16
12	2	1	823	134	15	731	77
12	2	2	3137	1368	274	2346	517
12	2	3	1006	12	996	8	2
13	1	1	989	152	119	803	67
13	1	2	2520	717	151	1606	763
13	1	3	1223	16	740	481	2
13	2	1	324	143	9	313	2
13	2	2	3116	389	706	1687	723
13	2	3	1924	178	1485	312	127
14	1	1	457	12	167	163	127
14	1	2	1554	7	685	605	264
14	1	3	1243	306	1183	13	47
14	2	1	481	157	159	320	2
14	2	2	1473	9	466	1005	2
14	2	3	511	8	385	124	2
15	1	1	474	142	252	220	2
15	1	2	2165	232	560	1046	559
15	1	3	1246	10	888	356	2
15	2	1	560	13	9	344	207
15	2	2	1998	160	311	1234	453
15	2	3	871	6	856	13	2
16	1	1	747	7	14	729	4
16	1	2	2060	152	270	1439	351
16	1	3	1455	134	718	332	405
16	2	1	370	14	7	183	180
16	2	2	2356	634	419	941	996
16	2	3	1668	11	1273	294	101
17	1	1	404	9	7	304	93
17	1	2	3135	993	1124	1361	650
17	1	3	1520	17	1043	475	2
17	2	1	1506	293	148	1356	2
17	2	2	2298	219	469	347	1482
17	2	3	1922	12	1142	480	300
18	1	1	533	6	8	13	512
18	1	2	1458	433	12	565	881
18	1	3	652	9	13	290	349
18	2	1	122	9	13	107	2
18	2	2	2290	344	10	328	1952
18	2	3	666	9	154	282	230
19	1	1	942	158	6	934	2
19	1	2	2592	213	759	1213	620
19	1	3	774	6	332	150	292
19	2	1	799	157	200	526	73
19	2	2	3898	540	659	2321	918
19	2	3	835	12	381	323	131
20	1	1	575	9	8	565	2
20	1	2	2004	6	6	1316	682
20	1	3	1143	168	608	159	376
20	2	1	674	13	14	480	180
20	2	2	2055	13	138	1647	270
20	2	3	1346	7	903	379	64
