"dom"	"TOT"	"Mwork"	"Mnowork"	"Minact"	"ss"
27	110543	0,339040153	0,148100503	0,372501383	0,519427891
28	52874	0,29991176	0,166370638	0,411566573	0,739264801
29	170015	0,362332285	0,205842496	0,308836947	0,773336904
30	178329	0,394801093	0,104545666	0,392083239	0,536736666
31	183524	0,371617749	0,130693711	0,3370644	0,564334405
32	474950	0,394738965	0,126220358	0,308129349	0,756522437
33	287071	0,325097054	0,166703483	0,323866553	0,55260987
34	365059	0,277630632	0,099533625	0,432408305	0,700763386
3	82001	0,363222624	0,127642578	0,35741351	0,569519494
5	251866	0,356465228	0,155037697	0,319212238	0,432315966
6	190653	0,340522055	0,158602297	0,315824557	0,599855301
7	24699	0,318936682	0,121845743	0,428671432	0,59864127
11	154625	0,369534082	0,163450335	0,313514949	0,633319693
12	90315	0,363109545	0,096680402	0,375869499	0,522333262
13	223742	0,376765173	0,123294208	0,291348646	0,686261357
14	346216	0,382571786	0,146469018	0,303392114	0,649551031
15	779492	0,371666991	0,121645035	0,354209124	0,622904487
16	172916	0,300840296	0,16735459	0,296121696	0,585882649
17	39723	0,355473544	0,108049279	0,360170657	0,570371163
18	43082	0,412819078	0,163777055	0,289963811	0,65881279
20	220284	0,373237258	0,148408523	0,33441538	0,543276647
21	80685	0,315829972	0,120142922	0,331034534	0,624215104
22	16804	0,361024304	0,184654249	0,384058034	0,602065441
23	72357	0,319392015	0,137749608	0,380856661	0,541845061
24	89858	0,343470832	0,161819356	0,314440108	0,719272601
25	175305	0,368507554	0,188219519	0,284455717	0,763811699
