dom	sex	house	w	income	lab
27	1	68	3022,84031	6262,4	3
27	2	68	3022,84031	6262,4	3
27	1	68	3022,84031	6262,4	3
27	1	68	3022,84031	6262,4	3
27	2	69	2649,44846	16433,5	3
27	1	70	2821,93587	14981,36	1
27	2	70	2821,93587	14981,36	1
27	1	70	2821,93587	14981,36	2
27	2	70	2821,93587	14981,36	3
27	2	71	2538,62973	10605,8	3
27	2	72	2043,73878	11331,21739	0
27	2	72	2043,73878	11331,21739	1
27	2	72	2043,73878	11331,21739	0
27	1	72	2043,73878	11331,21739	1
27	2	73	2969,46365	6482,4	3
27	1	73	2969,46365	6482,4	3
32	1	74	1475,53391	25965,22222	0
32	2	74	1475,53391	25965,22222	1
32	1	74	1475,53391	25965,22222	1
32	2	75	434,03553	14755,53333	3
32	2	75	434,03553	14755,53333	1
32	2	76	1602,8082	15950,61	3
32	1	77	1962,39072	31526,18	1
32	2	77	1962,39072	31526,18	1
32	1	77	1962,39072	31526,18	2
32	1	78	3379,58335	6585,5	1
32	1	78	3379,58335	6585,5	1
32	2	78	3379,58335	6585,5	3
32	1	78	3379,58335	6585,5	2
32	2	79	2168,98368	15756,75	3
32	1	79	2168,98368	15756,75	1
32	1	79	2168,98368	15756,75	3
32	1	81	1915,76827	21324,52381	0
32	1	81	1915,76827	21324,52381	0
32	2	81	1915,76827	21324,52381	1
32	1	81	1915,76827	21324,52381	1
32	2	82	1573,10154	28167,4	3
32	1	82	1573,10154	28167,4	3
32	1	83	2061,07115	12628,6	3
32	1	83	2061,07115	12628,6	1
32	2	83	2061,07115	12628,6	3
32	1	85	2755,98481	24952,2	3
32	2	86	1614,89632	31780,26667	3
32	1	86	1614,89632	31780,26667	1
32	1	87	1716,64796	9432,632	3
32	2	87	1716,64796	9432,632	3
32	2	87	1716,64796	9432,632	3
32	1	87	1716,64796	9432,632	1
32	2	88	1405,44182	13830	3
30	2	89	1835,77346	28972,2	3
30	1	89	1835,77346	28972,2	3
32	2	90	1850,08774	8787,6	3
32	1	90	1850,08774	8787,6	3
32	2	91	1862,62181	11756,2	3
32	1	91	1862,62181	11756,2	3
32	2	93	1086,79656	8837,777778	0
32	1	93	1086,79656	8837,777778	2
32	2	93	1086,79656	8837,777778	1
32	2	94	1302,89857	12064,98	2
32	2	94	1302,89857	12064,98	1
32	1	94	1302,89857	12064,98	2
32	1	95	2929,0852	386,24	3
32	1	96	1983,16132	20092,73333	1
32	2	96	1983,16132	20092,73333	3
32	2	97	1820,62584	1477,870833	0
32	2	97	1820,62584	1477,870833	0
32	1	97	1820,62584	1477,870833	0
32	1	97	1820,62584	1477,870833	2
32	2	97	1820,62584	1477,870833	2
32	1	98	2306,19999	16872,5	3
32	1	99	886,12536	14214,72222	0
32	1	99	886,12536	14214,72222	1
32	2	99	886,12536	14214,72222	1
32	1	102	2085,73062	9412,266667	3
32	2	102	2085,73062	9412,266667	3
32	2	103	1177,68717	10736,5	3
30	2	104	1764,60483	25921,04762	1
30	1	104	1764,60483	25921,04762	1
30	1	104	1764,60483	25921,04762	0
30	1	104	1764,60483	25921,04762	0
30	1	105	3520,35819	675	3
30	2	108	3554,18348	13566,16	1
30	1	108	3554,18348	13566,16	1
30	1	108	3554,18348	13566,16	2
30	2	108	3554,18348	13566,16	1
30	2	109	6994,91769	1505,3	2
30	2	111	6577,76948	4423,014286	0
30	1	111	6577,76948	4423,014286	0
